id,auto_number,auto_brand,compensated,too_much
597,M0269X197RUS,Ford Focus,20600,1
780,7361C8197RUS,Ford Focus,800,0
191,M0299X197RUS,Ford Focus,9600,1
468,M581CH197RUS,Ford Focus,100,0
101,9683EC178RUS,Ford Focus,26000,1
662,708487163RUS,Ford Focus,1000,0
370,8180XX154RUS,Ford Focus,2800,0
308,9941KK197RUS,Ford Focus,800,0
56,X765HY197RUS,Ford Focus,13900,1
182,H003MH197RUS,Ford Focus,2900,1
694,T686EO197RUS,Toyota Camry,1000,0
661,Y653E8750RUS,Skoda Octavia,500,0
432,O02397197RUS,Volkswagen Jetta,4000,0
33,83298C154RUS,Ford Focus,100,1
313,M374CH197RUS,Ford Focus,5500,1
277,705287163RUS,Ford Focus,2000,1
322,H963HY161RUS,Ford Focus,1400,0
627,92918M178RUS,Ford Focus,7600,1
103,O719MM163RUS,Ford Focus,2300,1
272,X796TH96RUS,Ford Focus,500,0
235,X758HY197RUS,Ford Focus,72600,1
577,7828C8197RUS,Ford Focus,6700,1
743,Y7689C197RUS,Ford Focus,45000,1
166,X757HY197RUS,Ford Focus,6800,1
119,Y302E877RUS,Ford Focus,500,0
811,H232YH197RUS,Ford Focus,4300,0
778,T395KX197RUS,Ford Focus,7600,1
372,84438C154RUS,Ford Focus,3800,1
507,Y963O8197RUS,Ford Focus,21600,1
8,X4128H125RUS,Ford Focus,500,0
527,92778M178RUS,Ford Focus,3000,1
727,9141H8178RUS,Skoda Octavia,300,0
265,Y973O8197RUS,Ford Focus,34800,0
678,M680T9152RUS,Volkswagen Jetta,9000,1
6,92918M178RUS,Ford Focus,5700,0
787,90159H178RUS,Volkswagen Passat,300,0
124,9408H7178RUS,Skoda Octavia,1000,0
430,T940CC96RUS,Ford Focus,1500,1
44,92928M178RUS,Ford Focus,1200,0
449,O134HE197RUS,Ford Focus,7600,1
439,704787163RUS,Ford Focus,2800,1
792,C420X938RUS,Ford Focus,3300,1
509,T654HT96RUS,Toyota Corolla,2000,1
712,7842C8197RUS,Ford Focus,6000,0
350,X504X8197RUS,Skoda Octavia,12600,0
135,Y234E877RUS,Ford Focus,500,0
746,9491H7178RUS,Volkswagen Jetta,500,0
130,8685HE154RUS,Ford Focus,1000,0
216,E432XX77RUS,Toyota Camry,13000,1
653,M0299X197RUS,Ford Focus,9600,0
69,708587163RUS,Ford Focus,1400,1
318,7197TT36RUS,Ford Focus,6800,1
404,H115YO163RUS,Ford Focus,1100,1
443,8611T8154RUS,Ford Focus,1000,0
128,T769OT197RUS,Volkswagen Golf,30900,1
707,T478KX197RUS,Ford Focus,7500,1
417,7788KT197RUS,Ford Focus,8000,1
611,Y969O8197RUS,Ford Focus,15600,0
243,X761HY197RUS,Ford Focus,18300,1
528,C476M7161RUS,Ford Focus,500,1
765,O275O7161RUS,Ford Focus,8300,0
813,T6418M116RUS,Ford Focus,49200,0
369,E79988152RUS,Ford Focus,500,0
106,H967HY161RUS,Ford Focus,4500,0
580,8521XX154RUS,Ford Focus,1000,1
440,E53488152RUS,Ford Focus,3600,1
545,M302CH161RUS,Ford Focus,500,0
268,Y7129Y50RUS,Ford Focus,32000,1
296,Y275O8197RUS,Ford Focus,6000,0
586,Y966O8197RUS,Ford Focus,10400,1
154,O83797197RUS,Ford Focus,75900,1
453,H982HY161RUS,Ford Focus,300,0
394,92788M178RUS,Ford Focus,1200,0
503,Y388E877RUS,Ford Focus,19000,1
532,C583EY154RUS,Ford Focus,1000,0
672,X523OM161RUS,Ford Focus,400,0
776,O753MX161RUS,Ford Focus,700,1
471,9488EY178RUS,Ford Focus,1300,0
178,E40577152RUS,Ford Focus,500,0
719,84438C154RUS,Ford Focus,7600,1
659,8224XX154RUS,Ford Focus,2500,0
504,X255HE161RUS,Ford Focus,400,0
415,T017OX197RUS,Toyota Corolla,12700,1
606,Y156E877RUS,Ford Focus,7500,1
535,T6419O50RUS,Ford Focus,27000,1
637,707987163RUS,Ford Focus,1100,0
205,C422X938RUS,Ford Focus,10500,1
110,T479KX197RUS,Ford Focus,12000,1
755,H889YK197RUS,Ford Focus,21200,1
511,T2639T116RUS,Ford Focus,3000,0
387,M581CH197RUS,Ford Focus,100,0
510,T477KX197RUS,Ford Focus,94000,1
348,E816HE77RUS,Ford Focus,3000,0
19,9020YC197RUS,Skoda Octavia,145000,1
470,9496KX178RUS,Ford Focus,500,0
809,T399KX197RUS,Ford Focus,15300,1
65,X791O796RUS,Ford Focus,500,0
566,E394MO152RUS,Ford Focus,10500,1
458,X759HY197RUS,Ford Focus,12500,1
648,9589EY178RUS,Ford Focus,500,0
491,H219X836RUS,Ford Focus,1600,0
645,92928M178RUS,Ford Focus,1200,0
244,9938OH154RUS,Skoda Octavia,500,0
267,T6428M116RUS,Ford Focus,6000,1
187,Y8399C197RUS,Ford Focus,1800,1
236,T6419O50RUS,Ford Focus,9000,1
737,M577CH197RUS,Ford Focus,17000,1
618,X256HE161RUS,Ford Focus,1600,1
282,9822H8161RUS,Ford Focus,200,0
143,T654HT96RUS,Toyota Corolla,4000,0
669,K27188138RUS,Ford Focus,2000,0
151,H224X836RUS,Ford Focus,3500,0
431,C58078163RUS,Ford Focus,100,0
38,7364C8197RUS,Ford Focus,9000,1
330,E5878M777RUS,Skoda Octavia,8500,0
533,7788KT197RUS,Ford Focus,20000,0
281,92928M178RUS,Ford Focus,600,0
517,O68897197RUS,Ford Focus,8200,0
183,705787163RUS,Ford Focus,100,0
262,T020OX197RUS,Toyota Corolla,34300,0
666,M256OH161RUS,Ford Focus,1600,1
665,9468EX178RUS,Ford Focus,2000,0
342,8166XX154RUS,Ford Focus,600,0
163,9467EX178RUS,Ford Focus,3700,1
633,8321XX154RUS,Ford Focus,200,0
270,Y7689C197RUS,Ford Focus,27000,0
303,8610T8154RUS,Ford Focus,2000,0
299,Y187O8161RUS,Ford Focus,400,0
539,X759HY197RUS,Ford Focus,12500,1
691,H419XE197RUS,Toyota Corolla,6900,1
452,K326T8197RUS,Volkswagen Passat,100,0
378,72457Y96RUS,Ford Focus,900,1
169,T195OK161RUS,Ford Mondeo,6700,1
90,96429X178RUS,Ford Focus,2600,0
429,T483CT96RUS,Ford Focus,500,0
31,8601XX154RUS,Skoda Octavia,1300,0
649,H907YK197RUS,Ford Focus,7100,1
240,X015HY197RUS,Toyota Corolla,16000,1
149,9464EX178RUS,Ford Focus,2100,0
816,9881HX152RUS,Ford Focus,20600,1
112,E807HE77RUS,Ford Focus,4500,1
39,M375CH197RUS,Ford Focus,18100,1
176,7840C8197RUS,Ford Focus,7000,1
423,O017KO197RUS,Ford Focus,800,0
406,7064C8197RUS,Volkswagen Passat,12800,1
490,9943OH154RUS,Skoda Octavia,400,0
78,X786CO96RUS,Ford Focus,1000,0
481,8226XX154RUS,Ford Focus,1000,1
797,E42277152RUS,Ford Focus,5300,1
234,E316EH197RUS,Volkswagen,1300,0
95,E28877161RUS,Ford Focus,1000,0
717,H908YK197RUS,Ford Focus,4800,0
393,H220X836RUS,Ford Focus,7000,0
711,H983HY161RUS,Ford Focus,500,0
581,H906YK197RUS,Ford Focus,12000,0
82,8513XX154RUS,Ford Focus,1500,0
412,83298C154RUS,Ford Focus,100,0
607,E396MO152RUS,Ford Focus,3000,1
540,705787163RUS,Ford Focus,100,0
327,K436MO152RUS,Ford Focus,1500,0
237,O22297197RUS,Ford Focus,500,0
480,X023HY197RUS,Volvo,10200,1
108,7788KT197RUS,Ford Focus,12000,1
782,8316XX154RUS,Ford Focus,1100,0
77,92928M178RUS,Ford Focus,1200,1
144,E41977152RUS,Ford Focus,2400,1
482,Y038TO197RUS,Toyota Corolla,7600,0
733,Y780EE197RUS,Volkswagen Golf,2300,0
762,K329T8197RUS,Skoda Octavia,13000,1
651,H618YC38RUS,Volkswagen Golf,300,0
233,E160YX77RUS,Ford Focus,1100,1
177,K846YE77RUS,Volkswagen Passat,2000,1
89,X423MK197RUS,Ford Focus,14300,1
157,H427YH197RUS,Volkswagen Passat,29700,1
800,T6049O50RUS,Ford Focus,15000,1
98,9499KX178RUS,Ford Focus,2300,1
502,Y232E877RUS,Ford Focus,5000,1
22,9408H7178RUS,Skoda Octavia,1000,0
227,M741T9152RUS,Ford Focus,1000,1
514,O83597197RUS,Ford Focus,8000,1
557,E773EH197RUS,Ford Focus,6800,1
383,E591HE77RUS,Ford Focus,6000,1
427,7781KT197RUS,Ford Focus,1200,0
729,7370C8197RUS,Ford Focus,5000,1
779,T6488M116RUS,Ford Focus,21000,1
142,K379HY161RUS,Volkswagen Golf,200,0
266,E773EH197RUS,Ford Focus,6800,1
193,H837YK197RUS,Audi,4200,1
523,C420X938RUS,Ford Focus,3300,0
572,O22097197RUS,Ford Focus,24300,1
28,8440XX154RUS,Ford Focus,6200,0
424,X4138H125RUS,Ford Focus,300,0
688,M373CH197RUS,Ford Focus,6600,1
113,7197TT36RUS,Ford Focus,6800,0
624,E41577152RUS,Ford Focus,3000,1
2,E432XX77RUS,Toyota Camry,6500,0
783,O752MX161RUS,Ford Focus,2600,1
736,M0319X197RUS,Ford Focus,4500,1
602,9523M8178RUS,Skoda Octavia,300,1
118,89587X197RUS,Toyota Camry,4400,1
699,E28777161RUS,Ford Focus,800,0
433,T018OX197RUS,Toyota Corolla,6800,1
438,83218C154RUS,Ford Focus,100,0
64,7843C8197RUS,Ford Focus,12300,1
478,T6229O50RUS,Ford Focus,2500,1
136,K357YE77RUS,Volkswagen Golf,5000,0
331,E33577152RUS,Ford Focus,1000,0
621,M0299X197RUS,Ford Focus,19200,1
682,9068EM178RUS,Ford Focus,600,0
434,H963HY161RUS,Ford Focus,1400,0
184,Y7699C197RUS,Ford Focus,15800,1
334,X257HE161RUS,Ford Focus,5000,1
582,7199MT197RUS,Volkswagen Golf,9300,0
752,M942OT152RUS,Ford Focus,2000,0
418,X522OM161RUS,Ford Focus,1500,0
189,T654HT96RUS,Toyota Corolla,2000,1
753,T195OK161RUS,Ford Mondeo,6700,1
464,H237YH197RUS,Ford Focus,600,0
208,X256HE161RUS,Ford Focus,2400,0
593,H224X836RUS,Ford Focus,7000,1
297,K357YE77RUS,Volkswagen Golf,5000,0
36,E34877152RUS,Ford Focus,6100,1
759,Y195O8161RUS,Ford Focus,100,0
195,E42577152RUS,Ford Focus,3700,1
139,T479KX197RUS,Ford Focus,12000,0
309,Y356O8197RUS,Ford Focus,45900,1
146,7194TT36RUS,Ford Focus,2300,0
368,8436XX154RUS,Ford Focus,800,0
61,Y654E8750RUS,Skoda Octavia,500,0
554,M256OH161RUS,Ford Focus,1600,0
421,8166XX154RUS,Ford Focus,600,0
52,T011MY163RUS,Ford Focus,2000,0
570,E33177152RUS,Ford Focus,7100,1
663,K558KC161RUS,Ford Focus,500,0
58,T6488M116RUS,Ford Focus,21000,1
623,K040CC197RUS,Ford Focus,3600,1
102,Y353O8197RUS,Ford Focus,21800,1
728,9942KK197RUS,Ford Focus,3100,1
647,8451M7154RUS,Ford Focus,500,0
696,Y354O8197RUS,Ford Focus,10800,0
167,X765HY197RUS,Ford Focus,13900,1
524,K899T8197RUS,Ford Focus,15400,1
148,X758HY197RUS,Ford Focus,24200,1
49,C903MC161RUS,Volkswagen Jetta,1600,0
304,E40877152RUS,Ford Focus,1000,0
798,E34877152RUS,Ford Focus,36600,1
186,Y358O8197RUS,Ford Focus,21800,1
531,9886HX152RUS,Ford Focus,2900,1
181,Y655E8750RUS,Skoda Octavia,5200,1
640,X759HY197RUS,Ford Focus,37500,0
460,X015HY197RUS,Toyota Corolla,8000,0
30,9182CE154RUS,Ford Focus,19800,1
5,E34877152RUS,Ford Focus,6100,1
549,7368C8197RUS,Ford Focus,8800,1
419,Y8399C197RUS,Ford Focus,600,0
441,Y7129Y50RUS,Ford Focus,16000,0
608,9939KK197RUS,Ford Focus,1600,0
680,7364C8197RUS,Ford Focus,4500,1
326,O143HO197RUS,Toyota Corolla,30300,1
701,E577HE77RUS,Ford Focus,12000,1
116,7781KT197RUS,Ford Focus,600,1
218,H217X836RUS,Ford Focus,2000,0
698,9938KK197RUS,Ford Focus,28500,0
291,8201XX154RUS,Ford Focus,2600,0
17,O21997197RUS,Ford Focus,2000,0
111,92788M178RUS,Ford Focus,300,0
222,8601XX154RUS,Skoda Octavia,1300,0
494,Y352O8197RUS,Ford Focus,25900,1
803,T940CC96RUS,Ford Focus,500,0
684,C410X938RUS,Ford Focus,1100,0
3,7184TT36RUS,Ford Focus,2100,0
223,M375CH197RUS,Ford Focus,18100,1
360,Y652O8197RUS,Volkswagen Touareg,5800,1
219,Y316E877RUS,Ford Focus,7000,1
450,96429X178RUS,Ford Focus,1300,0
631,7369C8197RUS,Ford Focus,10100,1
114,M516CH161RUS,Ford Focus,1000,0
594,9028CO161RUS,Ford Focus,1500,1
410,X767HY197RUS,Ford Focus,36000,1
664,O058M7161RUS,Ford Focus,1900,0
46,O672E8197RUS,Skoda Octavia,63300,1
259,T941CC96RUS,Ford Focus,2000,0
230,H004MH197RUS,Ford Focus,39600,0
660,O22397197RUS,Ford Focus,18500,0
170,E41977152RUS,Ford Focus,2400,0
756,Y7429Y50RUS,Ford Focus,2000,1
708,T119CT96RUS,Ford Focus,2000,0
455,7361C8197RUS,Ford Focus,1600,0
764,7842C8197RUS,Ford Focus,12000,1
140,T399KX197RUS,Ford Focus,10200,1
258,C590EY154RUS,Ford Focus,3500,1
537,T6459O50RUS,Ford Focus,2000,0
774,7164YM36RUS,Ford Focus,18800,1
398,7784KT197RUS,Ford Focus,13200,1
343,7363C8197RUS,Ford Focus,1600,1
100,T6449O50RUS,Ford Focus,12500,1
447,O22297197RUS,Ford Focus,500,0
241,M6977E152RUS,Ford Focus,500,1
530,9679EC178RUS,Ford Focus,500,0
288,M256OH161RUS,Ford Focus,1600,1
543,92898M178RUS,Ford Focus,1600,0
203,T476KX197RUS,Ford Focus,1500,0
147,Y965EE197RUS,Ford Focus,9600,1
252,9182CE154RUS,Ford Focus,13200,1
60,H968HY161RUS,Ford Focus,2400,0
498,7365C8197RUS,Ford Focus,6900,1
589,7089H8163RUS,Toyota Corolla,4400,1
126,8049HT125RUS,Ford Focus,500,0
356,7831C8197RUS,Ford Focus,3400,1
314,9935TE152RUS,Ford Focus,2500,1
595,H971HY161RUS,Ford Focus,7400,1
500,O78097197RUS,Ford Focus,1400,1
638,8234XX154RUS,Ford Focus,1300,0
63,H232YH197RUS,Ford Focus,8600,1
644,92918M178RUS,Ford Focus,1900,0
251,Y255E877RUS,Ford Focus,2500,0
138,X257HE161RUS,Ford Focus,10000,1
590,9883HX152RUS,Ford Focus,500,0
248,T6488M116RUS,Ford Focus,21000,1
794,96429X178RUS,Ford Focus,1300,1
121,7830C8197RUS,Ford Focus,5100,0
542,Y973O8197RUS,Ford Focus,69600,0
319,X765HY197RUS,Ford Focus,41700,1
134,X242EC197RUS,Volkswagen Golf,10600,0
224,Y4298M777RUS,Skoda Octavia,2000,0
560,O017KO197RUS,Ford Focus,1600,0
632,T6359O50RUS,Ford Focus,13500,1
472,T6319O50RUS,Ford Focus,6500,1
66,Y359O8197RUS,Ford Focus,2000,1
321,M581CH197RUS,Ford Focus,100,0
42,83218C154RUS,Ford Focus,100,0
209,Y275O8197RUS,Ford Focus,3000,0
619,9941KK197RUS,Ford Focus,800,0
768,H957HY161RUS,Ford Focus,2000,0
620,E28877161RUS,Ford Focus,500,0
53,H115YO163RUS,Ford Focus,2200,0
760,O669E8197RUS,Ford Focus,18000,0
199,C476M7161RUS,Ford Focus,1500,1
501,X5707X161RUS,Volkswagen Passat,500,1
85,8818C877RUS,Volkswagen Passat,2500,0
403,Y7449Y50RUS,Ford Focus,8000,0
226,O22297197RUS,Ford Focus,500,0
152,E6849O154RUS,Volkswagen Golf,200,0
335,C584EY154RUS,Ford Focus,500,0
34,Y7659C197RUS,Ford Focus,1500,1
642,C803KE163RUS,Volkswagen Jetta,1000,0
132,7177TT36RUS,Ford Focus,1000,0
692,98017H178RUS,Ford Focus,1500,0
400,O752MX161RUS,Ford Focus,1300,0
704,9072EM178RUS,Ford Focus,4400,1
495,Y8399C197RUS,Ford Focus,600,0
788,9469EX178RUS,Ford Focus,4200,0
232,704987163RUS,Ford Focus,1800,1
11,H234YH197RUS,Ford Focus,6000,1
769,M0279X197RUS,Ford Focus,36000,1
263,E33577152RUS,Ford Focus,2000,1
91,O275O7161RUS,Ford Focus,16600,1
772,Y8399C197RUS,Ford Focus,600,0
716,7177TT36RUS,Ford Focus,500,0
24,M298CH161RUS,Ford Focus,1500,1
367,7172TT36RUS,Ford Focus,5700,1
23,7066C8197RUS,Volkswagen Passat,15000,1
172,T8008Y125RUS,Ford Focus,1000,1
354,9470EX178RUS,Ford Focus,500,0
700,M701T9152RUS,Ford Focus,3000,1
451,Y7379Y50RUS,Ford Focus,2000,1
285,Y965O8197RUS,Ford Focus,1600,0
74,7066C8197RUS,Volkswagen Passat,3000,1
749,9594HY161RUS,Ford Focus,300,0
249,T272HH163RUS,Ford Focus,1000,0
486,X795O796RUS,Ford Focus,2000,0
68,X761HY197RUS,Ford Focus,18300,1
538,Y356O8197RUS,Ford Focus,30600,1
4,X582HE161RUS,Ford Focus,2000,1
687,X4128H125RUS,Ford Focus,1500,1
808,H214X836RUS,Ford Focus,8000,0
493,T6169O50RUS,Ford Focus,500,0
57,73467Y96RUS,Ford Focus,800,0
155,7368C8197RUS,Ford Focus,4400,0
718,9428EX178RUS,Ford Focus,500,0
407,92828M178RUS,Ford Focus,300,0
709,X795O796RUS,Ford Focus,1000,0
477,Y273O8197RUS,Ford Focus,52600,1
397,T6439O50RUS,Ford Focus,16500,1
681,7844C8197RUS,Ford Focus,17000,1
43,9499KX178RUS,Ford Focus,2300,1
336,C584EY154RUS,Ford Focus,500,0
317,T6559O50RUS,Ford Focus,4000,1
109,Y351O8197RUS,Ford Focus,1500,1
536,C592EY154RUS,Ford Focus,1000,0
571,K338T8197RUS,Ford Focus,17400,1
548,O77997197RUS,Ford Focus,5600,1
264,7197TT36RUS,Ford Focus,6800,1
636,M2169X197RUS,Ford Focus,3100,1
588,X286TC36RUS,Ford Focus,500,0
275,9409H7178RUS,Skoda Octavia,3000,1
446,8605T8154RUS,Ford Focus,1000,0
445,M386M9197RUS,Volkswagen Golf,5800,1
579,Y305E877RUS,Ford Focus,2500,0
278,K559KC161RUS,Ford Focus,100,0
371,9499KX178RUS,Ford Focus,2300,1
555,7183TT36RUS,Ford Focus,16200,1
497,94178K154RUS,Ford Focus,500,0
168,934497178RUS,Skoda Octavia,1900,1
724,H963X936RUS,Skoda Octavia,1800,0
358,H004MH197RUS,Ford Focus,9900,1
402,Y7719C197RUS,Ford Focus,4600,1
598,E316EH197RUS,Volkswagen Touareg,1300,0
384,89587X197RUS,Toyota Camry,4400,0
610,H908YK197RUS,Ford Focus,4800,1
274,7369C8197RUS,Ford Focus,20200,1
129,9698MO178RUS,Volkswagen Golf,18400,1
79,Y357O8197RUS,Ford Focus,2200,0
211,X255HE161RUS,Ford Focus,400,0
635,H961HY161RUS,Ford Focus,2500,1
646,E52677152RUS,Ford Focus,2500,1
465,T948OM96RUS,Ford Focus,2000,0
328,9938OH154RUS,Skoda Octavia,500,0
754,T476KX197RUS,Ford Focus,4500,1
476,9523M8178RUS,Skoda Octavia,600,0
323,M302CH161RUS,Ford Focus,500,0
793,Y965O8197RUS,Ford Focus,1600,1
734,Y388E877RUS,Ford Focus,9500,1
414,8316XX154RUS,Ford Focus,2200,0
617,E42377152RUS,Ford Focus,3000,1
320,96857X197RUS,Skoda Octavia,18900,1
228,9883HX152RUS,Ford Focus,1000,1
483,M0289X197RUS,Ford Focus,40600,1
463,Y6839Y50RUS,Ford Focus,3000,1
395,H218X836RUS,Ford Focus,17500,1
161,9822H8161RUS,Ford Focus,100,0
158,9583EY178RUS,Ford Focus,4300,1
658,8201XX154RUS,Ford Focus,7800,0
815,Y194O8161RUS,Ford Focus,900,1
97,9498KX178RUS,Ford Focus,1600,1
286,E53488152RUS,Ford Focus,1800,1
784,8234XX154RUS,Ford Focus,2600,1
253,O753MX161RUS,Ford Focus,700,0
508,Y778EE197RUS,Volkswagen Golf,168000,1
305,K899T8197RUS,Ford Focus,15400,0
245,T769OT197RUS,Volkswagen Golf,30900,1
814,7248C8197RUS,Ford Mondeo,34400,1
551,Y207O8161RUS,Ford Focus,500,0
150,M0279X197RUS,Ford Focus,180000,1
256,T686EO197RUS,Toyota Camry,500,0
10,8049HT125RUS,Ford Focus,500,0
174,X765HY197RUS,Ford Focus,27800,1
457,T6559O50RUS,Ford Focus,4000,0
564,Y964O8197RUS,Ford Focus,1000,0
547,M578CH197RUS,Ford Focus,9000,1
459,E53277152RUS,Ford Focus,500,0
283,8603T8154RUS,Ford Focus,3000,0
215,8165XX154RUS,Ford Focus,4200,1
341,T016OX197RUS,Toyota Corolla,3200,1
21,7830C8197RUS,Ford Focus,5100,1
550,9683EC178RUS,Ford Focus,6500,1
198,K329T8197RUS,Skoda Octavia,13000,1
799,Y964EE197RUS,Ford Focus,6000,1
12,E40577152RUS,Ford Focus,500,0
695,9943OH154RUS,Skoda Octavia,400,0
391,O058M7161RUS,Ford Focus,1900,1
20,8182XX154RUS,Ford Focus,200,0
192,9428EX178RUS,Ford Focus,1000,0
87,K327T8197RUS,Volkswagen Golf,20800,1
40,M5039X197RUS,Volkswagen,7400,1
123,M589CH197RUS,Volkswagen,7900,1
7,E53488152RUS,Ford Focus,1800,1
105,E535MM199RUS,Volkswagen Touareg,500,0
220,934497178RUS,Skoda Octavia,3800,0
612,9028CO161RUS,Ford Focus,1500,0
376,K339T8197RUS,Ford Focus,19200,1
284,84418C154RUS,Ford Focus,3000,0
48,X767HY197RUS,Ford Focus,18000,1
745,7788KT197RUS,Ford Focus,4000,1
747,M374CH197RUS,Ford Focus,5500,0
804,T288CT96RUS,Ford Focus,1500,0
559,K2817K154RUS,Ford Focus,4500,0
741,E33177152RUS,Ford Focus,7100,1
584,T171CC96RUS,Ford Focus,2000,1
373,T6309O50RUS,Ford Focus,24000,1
294,Y193O8161RUS,Ford Focus,600,1
261,X242EC197RUS,Volkswagen Golf,10600,1
706,C3829X154RUS,Ford Focus,13500,1
444,X763HY197RUS,Ford Focus,9500,1
785,9488EY178RUS,Ford Focus,1300,1
518,72457Y96RUS,Ford Focus,900,0
775,7843C8197RUS,Ford Focus,4100,1
290,E53277152RUS,Ford Focus,500,0
683,T011MY163RUS,Ford Focus,4000,1
475,O64297197RUS,Ford Focus,300,0
479,9943KK197RUS,Ford Focus,19800,1
448,7147OE161RUS,Ford Focus,500,0
324,H115YO163RUS,Ford Focus,1100,0
96,T6068M116RUS,Ford Focus,1000,0
212,7370C8197RUS,Ford Focus,5000,1
50,T7318T163RUS,Toyota Camry,12000,1
512,O49797197RUS,Ford Focus,5300,1
273,E52877152RUS,Ford Focus,1500,0
408,Y650E8750RUS,Skoda Octavia,500,0
302,H982HY161RUS,Ford Focus,300,0
496,T940CC96RUS,Ford Focus,500,0
639,9938KK197RUS,Ford Focus,28500,0
137,97987H178RUS,Ford Focus,5000,1
513,708187163RUS,Ford Focus,1000,1
293,C798ET50RUS,Ford Focus,10000,0
473,H305T8197RUS,Ford Focus,28100,0
349,T6329O50RUS,Ford Focus,500,0
247,7829C8197RUS,Ford Focus,1800,1
171,K2807K154RUS,Ford Focus,1000,0
301,M373CH197RUS,Ford Focus,6600,1
817,T6359O50RUS,Ford Focus,13500,1
442,C313MM99RUS,Toyota Camry,7500,0
489,K339T8197RUS,Ford Focus,57600,1
287,9697MO178RUS,Volkswagen Golf,500,0
544,9671EC178RUS,Ford Focus,600,0
437,9942KK197RUS,Ford Focus,3100,0
1,Y163O8161RUS,Ford Focus,3200,1
380,K899T8197RUS,Ford Focus,15400,1
355,C412X938RUS,Ford Focus,1000,0
306,O83697197RUS,Ford Focus,6100,0
229,Y6829Y50RUS,Ford Focus,500,0
812,7360C8197RUS,Ford Focus,9600,1
484,E811HE77RUS,Ford Focus,7000,1
73,97977H178RUS,Ford Focus,1000,0
456,Y359EY197RUS,Skoda Octavia,3000,1
131,O83697197RUS,Ford Focus,6100,1
